|---------------------------+-------+----------+--------|
|  country                  | user  | abovelv1 | mean   |
|  Ecuador                  | 103   | 22.3%    | 2.5%   |
|  Egypt                    | 864   | 20.1%    | 2.7%   |
|  El Salvador              | 53    | 13.2%    | 2.3%   |
|  England                  | 8091  | 37.4%    | 4.8%   |
|  Equatorial Guinea        | 6     | 0%       | 1%     |
|  Eritrea                  | 8     | 0%       | 1.8%   |
|  Estonia                  | 455   | 36.3%    | 4.6%   |
|  Ethiopia                 | 73    | 23.3%    | 3.4%   |
|  Faroe Islands            | 9     | 55.6%    | 4.6%   |
|  Fiji                     | 16    | 18.8%    | 3.5%   |
|  Finland                  | 1485  | 39.5%    | 5.2%   |
|  France                   | 5292  | 45.3%    | 6.3%   |
|  FYR of Macedonia         | 121   | 29.8%    | 4%     |
|  Gabon                    | 12    | 33.3%    | 3%     |
|  Gambia                   | 5     | 40%      | 3.7%   |
|  Georgia                  | 76    | 11.8%    | 2.1%   |
|  Germany                  | 8800  | 39.9%    | 5.2%   |
|  Ghana                    | 83    | 10.8%    | 1.7%   |
|  Gibraltar                | 7     | 0%       | 1.8%   |
|  Greece                   | 1063  | 34.9%    | 4.7%   |
|  Greenland                | 2     | 50%      | 3%     |
|  Grenada                  | 5     | 0%       | 0.4%   |
|  Guatemala                | 102   | 30.4%    | 3.3%   |
|  Guernsey                 | 11    | 81.8%    | 12.8%  |
|  Guinea                   | 3     | 66.7%    | 4.3%   |
|  Guinea Bissau            | 4     | 0%       | 1.2%   |
|  Guyana                   | 6     | 50%      | 4.3%   |
|  Haiti                    | 18    | 22.2%    | 2.3%   |
|  Honduras                 | 46    | 17.4%    | 3.1%   |
|  Hong Kong                | 470   | 41.7%    | 5.3%   |
|  Hungary                  | 1643  | 42.3%    | 5.7%   |
|  Iceland                  | 393   | 34.1%    | 4.3%   |
|  India                    | 12787 | 24%      | 3.1%   |
|  Indonesia                | 1280  | 20.9%    | 2.9%   |
|  Iran                     | 1745  | 39.2%    | 4.5%   |
|  Iraq                     | 32    | 15.6%    | 2.3%   |
|  Ireland                  | 1203  | 31.5%    | 4%     |
|  Isle of Man              | 32    | 31.3%    | 4.7%   |
|  Israel                   | 2037  | 45.3%    | 6.3%   |
|  Italy                    | 2447  | 34.3%    | 4.4%   |
|  Ivory Coast              | 8     | 0%       | 0.6%   |
|  Jamaica                  | 52    | 25%      | 3.3%   |
|  Japan                    | 3661  | 51.9%    | 7.1%   |
|  Jersey                   | 17    | 29.4%    | 4.5%   |
|  Jordan                   | 135   | 29.6%    | 3.6%   |
|  Kazakhstan               | 184   | 25%      | 3.2%   |
|  Kenya                    | 189   | 22.2%    | 2.6%   |
|  Kiribati                 | 7     | 28.6%    | 2.7%   |
|  Kosovo                   | 11    | 27.3%    | 2.2%   |
|  Kuwait                   | 27    | 25.9%    | 2.3%   |
|  Kyrgyzstan               | 44    | 29.5%    | 4.2%   |
|  Laos                     | 12    | 8.3%     | 1.6%   |
|  Latvia                   | 368   | 33.7%    | 4.3%   |
|  Lebanon                  | 206   | 33.5%    | 4.5%   |
|  Lesotho                  | 5     | 20%      | 2%     |
|  Liberia                  | 3     | 0%       | 2.3%   |
|  Libya                    | 13    | 7.7%     | 2.9%   |
|  Liechtenstein            | 14    | 28.6%    | 3.7%   |
|  Lithuania                | 711   | 33.1%    | 4.2%   |
|  Luxembourg               | 102   | 28.4%    | 4.2%   |
|  Macao                    | 11    | 36.4%    | 3.3%   |
|  Madagascar               | 13    | 23.1%    | 3.2%   |
|  Malawi                   | 4     | 50%      | 3.7%   |
|  Malaysia                 | 437   | 25.9%    | 3.3%   |
|  Maldives                 | 24    | 16.7%    | 2.9%   |
|  Mali                     | 7     | 14.3%    | 3%     |
|  Malta                    | 62    | 33.9%    | 3.4%   |
|  Marshall Islands         | 6     | 50%      | 5.7%   |
|  Mauritania               | 6     | 33.3%    | 3.5%   |
|  Mauritius                | 29    | 20.7%    | 3.3%   |
|  Mexico                   | 2031  | 19.2%    | 2.8%   |
|  Micronesia               | 7     | 42.9%    | 4.1%   |
|  Moldova                  | 191   | 28.8%    | 4.5%   |
|  Monaco                   | 7     | 28.6%    | 2.8%   |
|  Mongolia                 | 49    | 24.5%    | 3.1%   |
|  Montenegro               | 22    | 27.3%    | 3.2%   |
|  Morocco                  | 303   | 26.4%    | 3.5%   |
|  Mozambique               | 11    | 18.2%    | 1.5%   |
|  Myanmar                  | 59    | 20.3%    | 2.6%   |
|  Namibia                  | 11    | 36.4%    | 3.9%   |
|  Nauru                    | 9     | 22.2%    | 2%     |
|  Nepal                    | 354   | 24.9%    | 3%     |
|  Netherlands              | 3996  | 43.8%    | 5.7%   |
|  Netherlands Antilles     | 8     | 12.5%    | 1.8%   |
|  New Guinea               | 4     | 50%      | 4.9%   |
|  New Zealand              | 1017  | 35.8%    | 4.6%   |
|  Nicaragua                | 16    | 25%      | 2.2%   |
|  Niger                    | 10    | 30%      | 4.9%   |
|  Nigeria                  | 225   | 13.8%    | 2.2%   |
|  Northern Ireland         | 199   | 38.2%    | 4.7%   |
|  Norway                   | 1828  | 37.3%    | 4.6%   |
|  Oman                     | 15    | 33.3%    | 5.9%   |
|  Pakistan                 | 532   | 19.4%    | 2.9%   |
|  Palau                    | 1159  | 9.9%     | 1.7%   |
|  Palestine                | 73    | 21.9%    | 4%     |
|  Panama                   | 47    | 27.7%    | 3.2%   |
|  Paraguay                 | 40    | 22.5%    | 2.8%   |
|  Peru                     | 250   | 25.6%    | 3.4%   |
|  Philippines              | 1385  | 22.5%    | 3.1%   |
|  Poland                   | 3648  | 34.8%    | 4.4%   |
|  Portugal                 | 1403  | 28.9%    | 3.9%   |
|  Puerto Rico              | 107   | 24.3%    | 3.2%   |
|  Qatar                    | 17    | 17.6%    | 2.6%   |
|  Romania                  | 1641  | 31.1%    | 4.1%   |
|  Russia                   | 4630  | 38.4%    | 5.5%   |
|  Rwanda                   | 12    | 58.3%    | 6.1%   |
|  Saint Lucia              | 8     | 0%       | 1.8%   |
|  Samoa                    | 4     | 25%      | 24.9%  |
|  San Marino               | 9     | 55.6%    | 6.2%   |
|  Sao Tome                 | 4     | 25%      | 2.3%   |
|  Saudi Arabia             | 149   | 29.5%    | 3.8%   |
|  Scotland                 | 884   | 34.3%    | 4.4%   |
|  Senegal                  | 15    | 26.7%    | 3.1%   |
|  Serbia                   | 537   | 29.8%    | 3.9%   |
|  Seychelles               | 16    | 12.5%    | 2.8%   |
|  Sierra Leone             | 7     | 28.6%    | 4%     |
|  Singapore                | 689   | 35.7%    | 4.5%   |
|  Sint Maarten             | 1     | 0%       | 1.7%   |
|  Slovakia                 | 677   | 37.8%    | 5.1%   |
|  Slovenia                 | 720   | 40.6%    | 5.1%   |
|  Solomon Islands          | 3     | 33.3%    | 3.3%   |
|  Somalia                  | 12    | 33.3%    | 3.9%   |
|  South Africa             | 1382  | 27.1%    | 3.7%   |
|  South Korea              | 1801  | 40.8%    | 5.3%   |
|  South Sudan              | 2     | 50%      | 2.8%   |
|  Spain                    | 1793  | 30.8%    | 4.1%   |
|  Sri Lanka                | 1695  | 36.9%    | 4.1%   |
|  St Vincent Grenadines    | 15    | 20%      | 4%     |
|  Sudan                    | 20    | 30%      | 3.1%   |
|  Suriname                 | 3     | 33.3%    | 2.2%   |
|  Swaziland                | 15    | 26.7%    | 2.9%   |
|  Sweden                   | 4197  | 39.1%    | 5%     |
|  Switzerland              | 1301  | 40.4%    | 5.4%   |
|  Syria                    | 110   | 31.8%    | 3.8%   |
|  Taiwan                   | 543   | 46.6%    | 6.5%   |
|  Tajikistan               | 22    | 18.2%    | 3.8%   |
|  Tanzania                 | 37    | 24.3%    | 3.5%   |
|  Thailand                 | 434   | 33.6%    | 4.1%   |
|  Togo                     | 19    | 21.1%    | 2.7%   |
|  Tonga                    | 8     | 75%      | 6.5%   |
|  Trinidad Tobago          | 53    | 37.7%    | 4.1%   |
|  Tunisia                  | 179   | 20.7%    | 2.9%   |
|  Turkey                   | 2296  | 25.4%    | 3.3%   |
|  Turkmenistan             | 45    | 26.7%    | 3.7%   |
|  Tuvalu                   | 10    | 0%       | 1.5%   |
|  Uganda                   | 53    | 17%      | 2.4%   |
|  Ukraine                  | 2154  | 31.2%    | 4.1%   |
|  United Arab Emirates     | 79    | 31.6%    | 3.4%   |
|  Uruguay                  | 107   | 22.4%    | 2.8%   |
|  USA                      | 41957 | 38.5%    | 4.9%   |
|  Uzbekistan               | 97    | 27.8%    | 4.3%   |
|  Vanuatu                  | 11    | 18.2%    | 2.3%   |
|  Venezuela                | 251   | 23.9%    | 3.2%   |
|  Vietnam                  | 992   | 31.3%    | 4.2%   |
|  Virgin Islands           | 12    | 33.3%    | 3.4%   |
|  Wales                    | 359   | 34%      | 4.5%   |
|  Yemen                    | 25    | 16%      | 2.9%   |
|  Yugoslavia               | 19    | 15.8%    | 3.1%   |
|  Zambia                   | 11    | 36.4%    | 3.5%   |
|  Zimbabwe                 | 63    | 15.9%    | 2.2%   |
|---------------------------+-------+----------+--------|
